"ASIN (from original spreadsheet)","URL (from original spreadsheet)","Title","Body","Rating","Review Date","Reviewer Name","Product Description","About this Product"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","It does feel like it may offer some slight moisture","Does not break me out, which a lot of products do. Yet, I do not see any visible results with this toner. It hasn't help make my pores smaller or helped to control my oil in the summer heat. It does feel like it may offer some slight moisture, but that is it. Not a bad product by any means, but not life changing.","3.0 out of 5 stars","July 5, 2016","ValTheRizzle","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I love this brand","I love this brand, their hair mask is to die for, been using for 6 years and my hairdresser always is schocked how strong my hair is after the bleaching and washing. But this toner is not great. Would irritate and hurt my sensitive skin. I do not suggest if you have sensitive skin.","2.0 out of 5 stars","July 7, 2017","An","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very good product","I've been using this toner/freshener for many years and it never disappoints. Immediately refreshes the dryness left on my face from the cleanser I use and picks up any soil residue remaining. Smells good. The perfect preparation for the moisturizer I apply afterwards.... This is the first time ordering from OxKom and their service was very good also.","5.0 out of 5 stars","August 19, 2018","Natural Order","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very Nice Product for Sensitive Skin","This is a very nice product for sensitive skin.  I do facials and had been trying to find a alcohol free toner/freshener with natural ingredients that was gentle enough for sensitive skin.  This product has worked well for all skin types and I love that it contains aloe vera and Hyaluronic Acid.  My only disappointment is that it contains fragrance.","4.0 out of 5 stars","May 24, 2013","Mixdplate","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love this toner","I have purchased this many times because I can't live without it! I use it like a moisturizer by pouring a small amount into the palm of my hand and rubbing it on my face and neck. It's great for summer. The scent is light.","5.0 out of 5 stars","August 11, 2016","JS","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love this stuff","Love this stuff. Cleans away the last residues from washing my face and, since it does NOT have alcohol in it, it doesn't leave my face feeling dry.","5.0 out of 5 stars","June 3, 2016","Sandra Myers","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","love this","nice toner use it everyday very gentleOnly wish the would put it in a spray bottle","5.0 out of 5 stars","November 17, 2018","Lemonade","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Loved !","Great","5.0 out of 5 stars","March 4, 2019","Irene P.","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I really love this toner","I had been using Dermalogica Multi-Active toner but can no longer afford to spend that much. I really love this toner. It's has a pleasant smell and balances my skin without drying.","5.0 out of 5 stars","May 16, 2016","L. Godwin","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014DM5K","https://www.amazon.com/Earth-Science-Complexion-Toner-Freshener/product-reviews/B00014DM5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","This is a great toner. Not too acidic or stringent","This is a great toner.  Not too acidic or stringent, but does the job. Really makes my skin smooth.","5.0 out of 5 stars","February 6, 2017","Wizard","Facial Toner & Freshener-Aloe Vera Earth Science 8 oz Liquid","This fits your .
    





         Make sure this fits
                by entering your model number.
        



    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })


					
					
						 
							Earth science
							
						
					
						 
							Herbal extracts aloe panthenol and hyaluronic acid nourish and protect the skin while normalizing the skin's ph to 4.0-6
							
						
					
						 
							Aloe vera complexion toner freshener by earth science 9 oz liquid facial toner freshener"
"B00014D944","https://www.amazon.com/PROLAB-Glutamine-Powder-400-Grams/product-reviews/B00014D944/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I had a better one","As far as i know that all kinds of Glutamin give the same result.What I don't like about this one is the test. It changes the test in a way that i don't really like.. for that reason I avoid taking glutamin sometime.. it's not that bad, but I remember i had a better one that has no taste at all.I believe I will for another one once I finish this one.Good luck feeding your hungry muscles :)","3.0 out of 5 stars","March 19, 2014","Rakan","GLUTAMINE is a flavorless, easy-mixing and extremely versatile free form amino acid. Supplementing with GLUTAMINE replenishes depleted stores to help build new lean muscle, protect hard-earned gains and support cell volumization making muscle cells look and feel full and dense. GLUTAMINE also supports post-workout muscle energy repletion and repair helping to maximize recovery after intense training. Widely recognized as a long-standing nutrition company, PROLAB Nutrition LLC has been providing professional and aspiring bodybuilders and elite athletes with high quality sports nutrition products since 1989. Always an innovator, PROLAB Nutrition LLC helped pioneer a sports-specific approach to athletes' nutrition. PROLAB’s products allow athletes to customize a nutritional supplement program to meet specific training and physique goals due to our comprehensive product line.","Flavorless, easy-mixing and extremely versatile free-form amino acid that helps build and protect lean muscle
                
            
                
                    Supports cell volumization making muscles look and feel more full and dense
                
            
                
                    Helps maximize recovery after intense training
                
            
                
                    Supports a healthy immune system
                
            
                
                    400-gram bottle"
